authored_date,committed_date,before_or_after,id_issue
2020-10-02T17:59:04Z,2020-10-02T17:59:04Z,before,732267627
2020-10-02T17:49:41Z,2020-10-02T17:56:47Z,before,732267627
2020-10-02T17:49:27Z,2020-10-02T17:56:47Z,before,732267627
2020-10-02T17:49:11Z,2020-10-02T17:56:47Z,before,732267627
2020-10-02T17:52:50Z,2020-10-02T17:52:50Z,before,732267627
2020-10-02T17:49:42Z,2020-10-02T17:49:42Z,before,732267627
2020-10-02T17:39:07Z,2020-10-02T17:39:40Z,before,732267627
2020-10-02T17:31:35Z,2020-10-02T17:31:35Z,before,732267627
2020-10-02T17:24:50Z,2020-10-02T17:24:50Z,before,732267627
2020-10-02T16:40:09Z,2020-10-02T16:40:09Z,before,732267627
2020-10-02T16:18:57Z,2020-10-02T16:18:57Z,before,732267627
2020-10-02T15:54:37Z,2020-10-02T15:54:37Z,before,732267627
2020-10-02T15:46:16Z,2020-10-02T15:46:41Z,before,732267627
2020-10-02T15:39:33Z,2020-10-02T15:39:33Z,before,732267627
2020-10-02T15:38:04Z,2020-10-02T15:38:04Z,before,732267627
2020-10-02T14:57:53Z,2020-10-02T14:57:53Z,before,732267627
2020-10-02T14:10:53Z,2020-10-02T14:10:53Z,before,732267627
2020-10-02T13:33:14Z,2020-10-02T13:33:28Z,before,732267627
2020-10-02T13:17:38Z,2020-10-02T13:17:38Z,before,732267627
2020-10-02T13:05:00Z,2020-10-02T13:06:28Z,before,732267627
2020-10-02T12:13:23Z,2020-10-02T12:56:51Z,before,732267627
2020-10-02T03:28:36Z,2020-10-02T03:28:36Z,before,732267627
2020-10-02T02:30:18Z,2020-10-02T02:30:18Z,before,732267627
2020-10-02T01:28:41Z,2020-10-02T01:28:41Z,before,732267627
2020-10-02T00:52:41Z,2020-10-02T00:52:41Z,before,732267627
2020-10-02T00:16:54Z,2020-10-02T00:16:54Z,before,732267627
2020-10-01T23:51:13Z,2020-10-01T23:51:13Z,before,732267627
2020-10-01T23:49:53Z,2020-10-01T23:49:53Z,before,732267627
2020-10-01T23:43:38Z,2020-10-01T23:43:38Z,before,732267627
2020-10-01T23:00:29Z,2020-10-01T23:00:29Z,before,732267627
2020-10-01T22:55:12Z,2020-10-01T22:55:12Z,before,732267627
